simulations	assembly	seed	clusterer	adj_rand_index	purity	adj_mutual_info	adj_rand_index_p	homogeneity	completeness	v_measure	n_clusters	n_singletons	n_pairs	st	c	runtime
True	PROKKA_06122025	34	panaroo	0.2878174463324439	0.9444761795955673	0.8646008291375111	9.999000099990002e-05	0.9474336832867108	0.9749171218905325	0.9609789401647353	1902	1034	0	aa	0.85	33.0
True	PROKKA_06122025	34	panta	0.2535019267146875	0.9440191934193991	0.8577454014687096	9.999000099990002e-05	0.9432080976882987	0.9746772099235844	0.9586844775164246	1987	1126	0	aa	0.6	11.0
True	PROKKA_06122025	34	diamond	0.9783354595951765	1.0	0.9928540959393412	9.999000099990002e-05	0.9960805221145901	1.0000000000000002	0.9980364129392648	1903	1045	5	aa	0.6	2.0
True	PROKKA_06122025	34	diamond	0.9669960055272406	0.9617274077459157	0.9801489309463804	9.999000099990002e-05	0.9998377474089352	0.9896597840129179	0.9947227312632194	2069	1100	45	aa	0.95	2.0
True	PROKKA_06122025	34	diamond	0.9870968449742415	1.0	0.9955951742001664	9.999000099990002e-05	0.9975905373154716	1.0	0.9987938155294996	1917	1056	3	aa	0.7	2.0
True	PROKKA_06122025	34	panta	0.25370387093857844	0.9447046726836513	0.8582061629710939	9.999000099990002e-05	0.9432080976882987	0.9749096680871798	0.9587969100350586	1890	1028	0	aa	0.8	9.0
True	PROKKA_06122025	34	mmseqs2	0.9964725782093499	1.0	0.9985717096585134	9.999000099990002e-05	0.999221013058294	1.0	0.999610354764872	1932	1067	2	nt	0.7	2.0
True	PROKKA_06122025	34	cdhit	0.9863657207545724	1.0	0.9954964343694617	9.999000099990002e-05	0.9975362901212792	1.0000000000000002	0.9987666257224438	1919	1060	2	aa	0.7	1.0
True	PROKKA_06122025	34	panx	0.08364128060488496	0.9487033017251228	0.7909101082612416	9.999000099990002e-05	0.8954833710031321	0.9754703073907841	0.933767040053728	1795	993	0	aa	0.5	1212.0
True	PROKKA_06122025	34	ppanggolin	0.28653403908459674	0.9448189192276933	0.8600694743427743	9.999000099990002e-05	0.944268858699172	0.9749699019455748	0.9593738261798287	1867	1008	3	aa	0.6	5.0
True	PROKKA_06122025	34	panx	0.2041202089456688	0.9425339883468525	0.8462551926326478	9.999000099990002e-05	0.9361426991263114	0.974203748473218	0.9547940665324511	1889	1030	2	aa	0.9	1204.0
True	PROKKA_06122025	34	panaroo	0.2713757868769355	0.906317833885525	0.842525127183332	9.999000099990002e-05	0.9474336832867108	0.9641548279995433	0.955721123617365	2061	1073	53	aa	0.95	35.0
True	PROKKA_06122025	34	cdhit	0.9938745361283647	0.999771506911916	0.9975876403331049	9.999000099990002e-05	0.9987815696052021	0.9999018131436234	0.999341377431345	1928	1063	2	nt	0.8	33.0
True	PROKKA_06122025	34	panta	0.24558170349017142	0.9237975551239574	0.8465102278988029	9.999000099990002e-05	0.9432080976882987	0.9690977297413608	0.9559776611380116	1970	1051	21	aa	0.95	10.0
True	PROKKA_06122025	34	mmseqs2	0.9820015801277191	1.0	0.9941019342386362	9.999000099990002e-05	0.9967689577101011	0.9999999999999998	0.9983818647232955	1910	1051	3	aa	0.5	2.0
True	PROKKA_06122025	34	cdhit	0.9808392843356579	0.9995430138238318	0.9931136071870216	9.999000099990002e-05	0.99635040508914	0.999874679768978	0.9981094314291741	1906	1047	5	aa	0.6	1.0
True	PROKKA_06122025	34	panaroo	0.28797196133717107	0.9448189192276933	0.8646345451443392	9.999000099990002e-05	0.9472805079813347	0.9750474934397968	0.9609634611874249	1899	1033	0	aa	0.8	33.0
True	PROKKA_06122025	34	cdhit	0.9933779523821832	0.994630412430024	0.9962222874526095	9.999000099990002e-05	0.9994251139984182	0.9985221664347033	0.9989734361785686	1950	1071	5	aa	0.9	1.0
True	PROKKA_06122025	34	cdhit	0.9931889534802457	0.9993145207357478	0.9975763731068193	9.999000099990002e-05	0.9988754873464696	0.999802142194632	0.9993385999562168	1933	1068	2	aa	0.85	1.0
True	PROKKA_06122025	34	panta	0.25333878385166414	0.9440191934193991	0.8577461111443955	9.999000099990002e-05	0.9432080976882986	0.9746774681595108	0.9586846024319375	1893	1029	1	aa	0.85	9.0
True	PROKKA_06122025	34	mmseqs2	0.9991724432672566	0.9996572603678738	0.9994685052876822	9.999000099990002e-05	0.9998492323169538	0.9998612926695257	0.9998552624568715	1939	1070	3	nt	0.85	1.0
True	PROKKA_06122025	34	mmseqs2	0.9767306382162392	0.9752084999428767	0.985584711275461	9.999000099990002e-05	1.0	0.9923192510452106	0.9961448201884513	2051	1127	27	aa	0.95	1.0
True	PROKKA_06122025	34	diamond	0.9910538185678937	0.9936021935336457	0.9952301313081677	9.999000099990002e-05	0.9992171555788096	0.9981917819185724	0.998704205559936	1957	1078	6	aa	0.9	2.0
True	PROKKA_06122025	34	mmseqs2	0.9870230148058844	0.9859476750828288	0.9921661513240957	9.999000099990002e-05	1.0	0.9957842334252054	0.997887664155178	1997	1096	17	nt	0.95	1.0
True	PROKKA_06122025	34	hdbscan_dist	0.021843992948870163	0.9954301382383183	0.6891329344368204	9.999000099990002e-05	0.787934379662784	0.998591903673198	0.8808433433039462	1535	899	0	nt	0.9	2002.0
True	PROKKA_06122025	34	hdbscan_tsne	0.8067187217355971	0.9051753684451045	0.8856539792698253	9.999000099990002e-05	0.9601558089716936	0.975403532962047	0.9677196125946342	1413	356	0	nt	0.9	2002.0
True	PROKKA_06122025	34	hdbscan_umap	0.76810345411391	0.9696104192848166	0.8795914420482338	9.999000099990002e-05	0.934401983108809	0.992594875701465	0.9626197531548831	938	68	0	nt	0.9	2002.0
True	PROKKA_06122025	34	panx	0.275163869114008	0.9291671426939335	0.854417949216826	9.999000099990002e-05	0.9466093912145452	0.9704755851124885	0.9583939305309112	1964	1060	20	aa	0.95	883.0
True	PROKKA_06122025	34	diamond	0.9921832956048457	0.9989717811036216	0.9971498136197328	9.999000099990002e-05	0.9987339541924372	0.999710727416625	0.9992221020974155	1931	1065	2	aa	0.85	2.0
True	PROKKA_06122025	34	panta	0.2535019267146875	0.9440191934193991	0.8577454014687096	9.999000099990002e-05	0.9432080976882987	0.9746772099235844	0.9586844775164246	1987	1126	0	aa	0.7	12.0
True	PROKKA_06122025	34	mmseqs2	0.9983306595966198	0.9995430138238318	0.9992162624804178	9.999000099990002e-05	0.9997314805653293	0.9998415715269895	0.9997865230155075	1939	1071	2	aa	0.8	1.0
True	PROKKA_06122025	34	panta	0.2535019267146875	0.9440191934193991	0.8577454014687097	9.999000099990002e-05	0.9432080976882987	0.9746772099235844	0.9586844775164246	1987	1126	0	aa	0.5	10.0
True	PROKKA_06122025	34	panaroo	0.28789170049984575	0.9448189192276933	0.8643543950310282	9.999000099990002e-05	0.947096559619883	0.9750427680296608	0.9608665072290848	1897	1031	1	aa	0.7	37.0
True	PROKKA_06122025	34	cdhit	0.9893778723092568	0.9891465783160059	0.9929154064112566	9.999000099990002e-05	0.9997275774201783	0.9964487964154575	0.9980854941685654	1990	1096	19	nt	0.95	2.0
True	PROKKA_06122025	34	cdhit	0.9902425286594926	1.0	0.9969078798007417	9.999000099990002e-05	0.9983107967619057	1.0	0.9991546844260505	1926	1064	2	aa	0.8	1.0
True	PROKKA_06122025	34	ppanggolin	0.2867998634709292	0.9429909745230207	0.862793849067805	9.999000099990002e-05	0.9466928052343765	0.9745566675257712	0.9604226817190833	1897	1028	0	aa	0.9	5.0
True	PROKKA_06122025	34	cdhit	0.9667486022114359	0.9992002741917057	0.9888305930512759	9.999000099990002e-05	0.9941241030569534	0.999729485538981	0.996918915005087	1890	1037	5	aa	0.5	3.0
True	PROKKA_06122025	34	panaroo	0.2855768943282164	0.9394493316577174	0.861960520623661	9.999000099990002e-05	0.9474336832867108	0.9735951156254509	0.9603362603926784	1918	1034	6	aa	0.9	35.0
True	PROKKA_06122025	34	ppanggolin	0.2852850092843822	0.9448189192276933	0.856726806077333	9.999000099990002e-05	0.9420444427854978	0.9749122820198552	0.9581965889953907	1848	996	4	aa	0.5	6.0
True	PROKKA_06122025	34	cdhit	0.9946954230610049	1.0	0.9982223467420226	9.999000099990002e-05	0.9990301396790523	1.0	0.9995148345681755	1931	1066	2	nt	0.85	29.0
True	PROKKA_06122025	34	diamond	0.9688352511578614	1.0	0.9896188269988452	9.999000099990002e-05	0.9942876435065452	1.0000000000000002	0.997135640632356	1883	1027	6	aa	0.5	1.0
True	PROKKA_06122025	34	mmseqs2	0.9954450873597267	0.9950873986061921	0.9974827245570884	9.999000099990002e-05	0.9999435174270909	0.9986902806865049	0.9993165061378125	1954	1075	5	aa	0.9	1.0
True	PROKKA_06122025	34	panaroo	0.2876762838637738	0.9445904261396093	0.8638635900690709	9.999000099990002e-05	0.9468790961413038	0.974956691590081	0.9607127901385121	1895	1028	2	aa	0.6	39.0
True	PROKKA_06122025	34	panx	0.12145617181919956	0.9475608362847023	0.8174455448437545	9.999000099990002e-05	0.9145925597368146	0.9754344966091409	0.9440342455563753	1830	1005	0	aa	0.6	1207.0
True	PROKKA_06122025	34	panaroo	0.2869871093082495	0.9448189192276933	0.8620330236462677	9.999000099990002e-05	0.9455687812415304	0.97500345198649	0.9600605588799987	1884	1021	3	aa	0.5	40.0
True	PROKKA_06122025	34	panx	0.15417175281146894	0.9467611104764081	0.8321857362550217	9.999000099990002e-05	0.9250184531369166	0.9753321969426991	0.9495092709051017	1852	1015	0	aa	0.7	1209.0
True	PROKKA_06122025	34	diamond	0.9897059485049227	0.9995430138238318	0.9966169324378491	9.999000099990002e-05	0.9983107967619057	0.99984134610515	0.9990754852466099	1928	1065	2	aa	0.8	2.0
True	PROKKA_06122025	34	panx	0.1893903175296416	0.9451616588598195	0.8433368383520327	9.999000099990002e-05	0.9332664656013053	0.9748797873160503	0.9536193696930506	1877	1028	1	aa	0.85	1194.0
True	PROKKA_06122025	34	panta	0.2524059544841222	0.9416200159945162	0.8565792726679251	9.999000099990002e-05	0.9432080976882987	0.9740898570044703	0.9584002723769437	1899	1029	1	aa	0.9	10.0
True	PROKKA_06122025	34	mmseqs2	0.9995711064813977	1.0	0.9997133459804455	9.999000099990002e-05	0.9998438357611665	0.9999999999999999	0.9999219117832898	1937	1069	2	nt	0.8	1.0
True	PROKKA_06122025	34	panx	0.177990700162393	0.9460756312121559	0.8403678431682934	9.999000099990002e-05	0.9308364978744074	0.9751857823881357	0.9524951810427428	1866	1021	0	aa	0.8	1208.0
True	PROKKA_06122025	34	mmseqs2	0.998266324696574	0.9987432880155376	0.9989873873494279	9.999000099990002e-05	0.9998975231770144	0.9995514826128522	0.9997244729506658	1944	1073	3	aa	0.85	1.0
True	PROKKA_06122025	34	ppanggolin	0.2871098624062577	0.9447046726836513	0.8623093553747063	9.999000099990002e-05	0.9458214228892612	0.9749560038485064	0.9601677549705148	1887	1026	0	aa	0.8	5.0
True	PROKKA_06122025	34	mmseqs2	0.9963508614409218	1.0	0.9984796250803336	9.999000099990002e-05	0.9991707142843613	1.0	0.9995851851421625	1931	1066	2	nt	0.5	4.0
True	PROKKA_06122025	34	hdbscan_dist	0.9680589375205164	0.9900605506683423	0.979121642532695	9.999000099990002e-05	0.9908243779008424	0.9976468458319251	0.9942239078829127	1820	964	0	aa	0.9	1937.0
True	PROKKA_06122025	34	hdbscan_tsne	0.8492970717200985	0.9549868616474352	0.9100339434893165	9.999000099990002e-05	0.9583431126563968	0.98951237739615	0.9736783622898799	1261	341	0	aa	0.9	1937.0
True	PROKKA_06122025	34	hdbscan_umap	0.11369508411785445	0.935793442248372	0.7671193219998695	9.999000099990002e-05	0.8653147528290025	0.9813706390281594	0.9196959002207516	916	105	0	aa	0.9	1937.0
True	PROKKA_06122025	34	cdhit	0.9949655051822666	0.9982863018393694	0.9977255007133402	9.999000099990002e-05	0.9993422601732618	0.9994187733835207	0.9993805153139163	1941	1071	4	nt	0.9	2.0
True	PROKKA_06122025	34	mmseqs2	0.9964105123738093	0.999885753455958	0.9985588692438045	9.999000099990002e-05	0.9992693039183546	0.9999448168081352	0.9996069462389848	1934	1069	2	aa	0.7	1.0
True	PROKKA_06122025	34	mmseqs2	0.9975588608862757	0.9978293156632012	0.998522631372341	9.999000099990002e-05	0.9998975231770144	0.9992991580620575	0.9995982510733663	1947	1073	4	nt	0.9	2.0
True	PROKKA_06122025	34	mmseqs2	0.9934514729662879	0.999885753455958	0.9975909691889541	9.999000099990002e-05	0.9987402556643429	0.9999447875783539	0.9993421586584251	1929	1065	3	aa	0.6	1.0
True	PROKKA_06122025	34	ppanggolin	0.28241072381813626	0.9317948132069005	0.8573278315904773	9.999000099990002e-05	0.9471191213062167	0.9715256251651296	0.9591671393311917	1947	1051	12	aa	0.95	5.0
True	PROKKA_06122025	34	ppanggolin	0.2869436223412185	0.9448189192276933	0.8614301697914823	9.999000099990002e-05	0.9451699016635335	0.974993166767863	0.9598499322345682	1877	1016	2	aa	0.7	5.0
True	PROKKA_06122025	34	cdhit	0.9808977831496958	0.9782931566320119	0.9865536305474248	9.999000099990002e-05	0.999891434824783	0.9929285764455871	0.996397841617227	2055	1138	35	aa	0.95	1.0
True	PROKKA_06122025	34	ppanggolin	0.2873626484567818	0.9447046726836513	0.8629024282178865	9.999000099990002e-05	0.946212095651806	0.9749660851772105	0.9603739120614858	1889	1026	0	aa	0.85	5.0
True	PROKKA_06122025	34	mmseqs2	0.9964725782093499	1.0	0.9985717096585134	9.999000099990002e-05	0.999221013058294	1.0	0.999610354764872	1932	1067	2	nt	0.6	2.0
True	PROKKA_06122025	1274	panaroo	0.3827602800997569	0.9551600600947648	0.8913830939487634	9.999000099990002e-05	0.9593763109363955	0.9799937673462877	0.969575446982121	1908	1022	5	aa	0.85	33.0
True	PROKKA_06122025	1274	panta	0.33386326531774385	0.95585346122732	0.8851017785142934	9.999000099990002e-05	0.9552692746339931	0.9801211180139681	0.9675356383036119	1989	1115	3	aa	0.6	13.0
