simulations	assembly	seed	clusterer	adj_rand_index	purity	adj_mutual_info	adj_rand_index_p	homogeneity	completeness	v_measure	n_clusters	n_singletons	n_pairs	st	c	runtime
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panaroo	0.9984472404289476	0.9988233316523786	0.9992995923143293	9.999000099990002e-05	0.9999999999999999	0.9996640545036104	0.999831999032221	1850	1276	14	aa	0.85	34.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panta	0.9994199721175332	0.9996605566870332	0.9995703834998462	9.999000099990002e-05	0.9999536966787077	0.999840426832743	0.9998970585478806	1836	1268	13	aa	0.6	7.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	diamond	0.985297976895823	1.0	0.9932703056962722	9.999000099990002e-05	0.9966715792093039	1.0000000000000002	0.9983330153915377	1902	1292	51	aa	0.6	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	diamond	0.9566833108622659	0.9574268273595242	0.9756170279353042	9.999000099990002e-05	0.999829662219081	0.9885950633452613	0.994180625042685	2035	1350	76	aa	0.95	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	diamond	0.9897701477260795	1.0	0.995704476276503	9.999000099990002e-05	0.9978806297946872	1.0000000000000002	0.9989391907736097	1917	1307	51	aa	0.7	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panta	0.9994751839375832	0.9996605566870332	0.999666967233834	9.999000099990002e-05	0.9999999999999999	0.9998404342203318	0.9999202107443484	1837	1269	14	aa	0.8	7.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.9964251212257507	1.0	0.9985209470768311	9.999000099990002e-05	0.9992722811938284	1.0000000000000002	0.9996360081550588	1932	1323	49	nt	0.7	2.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.9866377007825222	1.0	0.9952061559784149	9.999000099990002e-05	0.9976336200827418	1.0	0.9988154084445374	1919	1311	52	aa	0.7	0.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panx	0.9999707356530143	1.0	0.9999255253828855	9.999000099990002e-05	0.9999641872551157	1.0	0.9999820933069139	1751	1216	14	aa	0.5	826.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	ppanggolin	0.9884924054691038	1.0	0.994951183426434	9.999000099990002e-05	0.997563729282721	1.0000000000000002	0.9987803789778693	1822	1248	17	aa	0.6	5.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panx	0.9962064523019041	0.9965806120704394	0.9975591943362104	9.999000099990002e-05	0.9999322225892434	0.9989018319190881	0.9994167616731059	1837	1267	19	aa	0.9	788.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panaroo	0.9550699211178795	0.9559589847033115	0.9732379014193296	9.999000099990002e-05	1.0	0.9876373697811581	0.9937802385853699	1959	1296	53	aa	0.95	37.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.9963543555380987	1.0	0.9980679445756783	9.999000099990002e-05	0.9990489653143009	1.0	0.9995242564328335	1928	1318	51	nt	0.8	24.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panta	0.9725729320364694	0.971826205023761	0.984195339584092	9.999000099990002e-05	0.9999999999999999	0.9925958658588284	0.9962841767023438	1894	1275	32	aa	0.95	8.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.9872626062972345	1.0	0.9949161934188879	9.999000099990002e-05	0.9974897459905276	1.0000000000000002	0.9987432956717246	1911	1299	51	aa	0.5	2.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.9845330066668598	0.9996869619658788	0.9933362595400206	9.999000099990002e-05	0.9967966949184243	0.9999086691070647	0.9983502569220112	1906	1295	53	aa	0.6	0.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panaroo	0.9981230989215709	0.9989914271306102	0.9990664292884127	9.999000099990002e-05	0.9998254436299105	0.9997264347149707	0.9997759367212001	1849	1276	14	aa	0.8	40.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.994071948234932	0.996713100641728	0.9966888656184858	9.999000099990002e-05	0.9993824323464229	0.998992479916375	0.99918741808476	1940	1324	54	aa	0.9	0.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.9933994387195171	0.998904366880576	0.9971758815837642	9.999000099990002e-05	0.9989068118460238	0.9997032488176457	0.9993048716435888	1932	1322	51	aa	0.85	0.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panta	0.9977587960884868	0.998133061778683	0.9986416555703157	9.999000099990002e-05	0.9999999999999999	0.9993501566012006	0.999674972692175	1841	1269	16	aa	0.85	7.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.999406084017972	0.9998434809829394	0.9995391261793849	9.999000099990002e-05	0.9998481399101309	0.9999253922081583	0.9998867645669963	1938	1328	50	nt	0.85	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.9631487110863586	0.9669744874002191	0.9789991602931785	9.999000099990002e-05	1.0	0.9899937236124414	0.9949717045492013	2034	1369	70	aa	0.95	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	diamond	0.9892465424977855	0.9918610111128502	0.9937616269541651	9.999000099990002e-05	0.9992481789394712	0.9977000700124382	0.9984735244000009	1952	1331	55	aa	0.9	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.97516472376336	0.9776177805603381	0.9860998094753468	9.999000099990002e-05	1.0	0.9933086685009765	0.9966431031958258	2001	1357	59	nt	0.95	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	hdbscan_dist	0.8598221028831331	0.886367193614024	0.9105728451630208	9.999000099990002e-05	0.9892726377687531	0.9692535499564533	0.9791607812462725	1990	1042	223	nt	0.9	0.386
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	hdbscan_tsne	0.5402693095025287	0.6614493660979809	0.7147468952244102	9.999000099990002e-05	0.976520699362664	0.9103685802627035	0.9422850320633928	2280	600	633	nt	0.9	21.094
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	hdbscan_umap	0.6853785309682319	0.9588354985130694	0.81160210023525	9.999000099990002e-05	0.9000600470844935	0.9895657744306365	0.9426931061019167	702	40	33	nt	0.9	9.052
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panx	0.9737392707816754	0.9738308289718048	0.9841801506300413	9.999000099990002e-05	0.9998881816423497	0.9926842101205727	0.9962731732164125	1907	1297	26	aa	0.95	783.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	diamond	0.995405698315844	0.9993739239317577	0.9976567372871911	9.999000099990002e-05	0.9990073492107767	0.9998393460419422	0.9994231744718278	1929	1318	52	aa	0.85	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panta	0.9994199721175332	0.9996605566870332	0.9995703834998462	9.999000099990002e-05	0.9999536966787077	0.999840426832743	0.9998970585478806	1836	1268	13	aa	0.7	7.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.9968956814209815	0.9998434809829394	0.998976456398469	9.999000099990002e-05	0.9995713813350385	0.9999253715524999	0.999748345108616	1938	1329	51	aa	0.8	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panta	0.9993647663842878	0.9996605566870332	0.9994301804984215	9.999000099990002e-05	0.9998864658807083	0.9998404161050056	0.9998634404626391	1834	1263	16	aa	0.5	9.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panaroo	0.9975309667251362	1.0	0.9991895912183572	9.999000099990002e-05	0.9996105829654127	1.0	0.9998052535639166	1845	1273	14	aa	0.7	37.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.9831439493104174	0.9863828455157302	0.9896505426787129	9.999000099990002e-05	0.9996765741176538	0.9953044332174005	0.997485712740701	1985	1354	60	nt	0.95	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.9907254166739697	1.0	0.9966538743698372	9.999000099990002e-05	0.9983506176258883	1.0000000000000002	0.999174628136042	1926	1318	52	aa	0.8	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	ppanggolin	0.9947353488325716	0.9983190452176837	0.9974972198400271	9.999000099990002e-05	0.9991940417415953	0.9996031109525794	0.9993985344875072	1843	1269	15	aa	0.9	5.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.9715331744646357	0.998904366880576	0.9884006310247251	9.999000099990002e-05	0.9946282458214916	0.9996140447551579	0.9971149127981392	1890	1280	55	aa	0.5	2.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panaroo	0.9910815710283002	0.9922676080013447	0.9952350131569699	9.999000099990002e-05	1.0	0.997728074713446	0.9988627454780702	1867	1280	17	aa	0.9	33.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	ppanggolin	0.9775839402207035	1.0	0.9905405194330918	9.999000099990002e-05	0.9954153417600152	1.0	0.9977024040338685	1800	1225	19	aa	0.5	6.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	cdhit	0.9965902801809877	1.0	0.9983528602562295	9.999000099990002e-05	0.9991894425059634	1.0	0.9995945569355246	1931	1322	51	nt	0.85	22.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	embed_hdbscan_raw	0.9005508433753453	0.9876349976522147	0.9315007742604474	9.999000099990002e-05	0.9676789816176574	0.9965980898234257	0.9819256546480145	1562	998	0	aa	0.9	19.62
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	embed_hdbscan_tsne	0.7679478534178951	0.9691657536390671	0.8406979920599865	9.999000099990002e-05	0.9170880979883269	0.9920985830959997	0.9531197882353525	816	181	0	aa	0.9	14.882
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	embed_hdbscan_umap	0.6847381503877765	0.9715135388949757	0.808223533110336	9.999000099990002e-05	0.89338148712509	0.9926742710430032	0.9404142084925299	628	41	0	aa	0.9	13.558
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	diamond	0.9751838015277993	1.0	0.9894910316768418	9.999000099990002e-05	0.9947828444253308	1.0	0.997384599737636	1883	1270	57	aa	0.5	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.9939563290990833	0.9953044294881828	0.9969016804543385	9.999000099990002e-05	0.9998906513597086	0.9985929587874756	0.9992413837526456	1949	1331	53	aa	0.9	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panaroo	0.9971251508006037	1.0	0.9988715809705756	9.999000099990002e-05	0.9994576014532105	0.9999999999999999	0.9997287271576074	1842	1268	16	aa	0.6	38.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panx	0.999971295184659	1.0	0.9999270381678069	9.999000099990002e-05	0.9999650143724458	1.0	0.999982506880219	1785	1238	14	aa	0.6	803.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panaroo	0.9875630432077935	1.0	0.9959288476882816	9.999000099990002e-05	0.9980374323543223	1.0	0.9990177523133963	1832	1259	17	aa	0.5	39.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panx	0.999971760354533	1.0	0.9999281819794025	9.999000099990002e-05	0.9999655705631788	1.0	0.9999827849852377	1806	1251	14	aa	0.7	796.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	diamond	0.990297602211469	0.9996869619658788	0.9964174817269716	9.999000099990002e-05	0.9983506176258883	0.9998837101962614	0.9991165757986606	1927	1318	53	aa	0.8	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panx	0.9992728530111639	0.9994846246349425	0.9994397310846828	9.999000099990002e-05	0.9999318655157918	0.9997999051080443	0.9998658809579468	1824	1262	17	aa	0.85	779.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panta	0.9963425173054732	0.9969450101832994	0.9976963952064377	9.999000099990002e-05	0.9999999999999999	0.9988994637839482	0.9994494289302732	1846	1271	19	aa	0.9	7.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.9994775644924946	1.0	0.9995545146112537	9.999000099990002e-05	0.9997810367346983	1.0	0.9998905063798088	1936	1326	50	nt	0.8	2.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	panx	0.9999436687936285	1.0	0.9998567375305654	9.999000099990002e-05	0.9999314613907977	1.0	0.9999657295209734	1817	1259	16	aa	0.8	756.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	mmseqs2	0.9996912222523564	1.0	0.9997774785152774	9.999000099990002e-05	0.9998906513597087	1.0000000000000004	0.9999453226904099	1938	1328	51	aa	0.85	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14	34	ppanggolin	0.9907033149820244	1.0	0.9968009341311834	9.999000099990002e-05	0.9984591596197867	1.0	0.9992289858049906	1837	1267	15	aa	0.8	4.0
