simulations	assembly	seed	clusterer	adj_rand_index	purity	adj_mutual_info	homogeneity	completeness	v_measure	n_clusters	n_singletons	n_pairs	st	c	runtime
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	panaroo	0.0006459063256012271	0.9994435169727324	0.0016936047087213256	0.7401331100959279	0.7400367855209046	0.7400849446741734	1526	1024	2	aa	0.85	26.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	panta	0.9987472921239987	0.998324958123953	0.9987927778204571	1.0	0.9993707626954589	0.9996852823316807	1616	1117	2	aa	0.6	8.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	diamond	0.000725465008866268	1.0	0.0019115153896912037	0.7378100128854111	0.739487487546333	0.7386477978277318	1505	1002	8	aa	0.6	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	diamond	0.0006915888789947561	0.9625301428306436	0.0017893221500551442	0.7502780891461461	0.7426195373130744	0.7464291690774795	1600	1032	34	aa	0.95	0.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	diamond	0.0007328882629718317	1.0	0.001928983165379091	0.7384925894404195	0.7396655897233446	0.7390786241615762	1512	1010	6	aa	0.7	1.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	panta	0.9997218907655574	0.9996277684719895	0.9997806485497609	1.0	0.9998854968669885	0.9999427451555648	1518	1017	3	aa	0.8	7.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	mmseqs2	0.0006427835875752884	1.0	0.0016856896103023856	0.7396805326109874	0.7399190940775597	0.7397997941121879	1520	1017	4	nt	0.7	2.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	cdhit	0.0006848300087054923	0.9998145056575775	0.001800170539211834	0.738829278061015	0.7397253938724396	0.739277064409793	1514	1012	5	aa	0.7	0.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	panx	0.9999708185306074	1.0	0.9999237964171579	0.9999600915450324	1.0	0.999980045374337	1457	980	3	aa	0.5	743.0
True	PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14	34	ppanggolin	0.0007198321175154595	1.0	0.0018993917538494569	0.7375975035112067	0.7394319885056544	0.738513606784328	1505	1003	7	aa	0.6	6.0
