simulations	assembly	seed	clusterer	adj_rand_index	purity	adj_mutual_info	homogeneity	completeness	v_measure	n_clusters	n_singletons	n_pairs	st	c	runtime
False	real_data	run	panaroo							3487	469	194	aa	0.85	66.0
False	real_data	run	panta							4706	1173	353	aa	0.6	8.0
False	real_data	run	diamond							3631	702	198	aa	0.6	4.0
False	real_data	run	diamond							5480	1784	395	aa	0.95	3.0
False	real_data	run	diamond							3776	778	206	aa	0.7	4.0
False	real_data	run	panta							4819	1263	360	aa	0.8	8.0
False	real_data	run	mmseqs2							4965	1300	416	nt	0.7	5.0
False	real_data	run	cdhit							3742	730	210	aa	0.7	3.0
False	real_data	run	panx							3790	775	214	aa	0.5	371.0
False	real_data	run	ppanggolin							3771	726	201	aa	0.6	5.0
False	real_data	run	panx							4073	949	239	aa	0.9	339.0
False	real_data	run	panaroo							3534	497	187	aa	0.95	74.0
False	real_data	run	cdhit							3809	773	227	nt	0.8	822.0
False	real_data	run	panta							5731	1879	466	aa	0.95	8.0
False	real_data	run	mmseqs2							4710	1170	399	aa	0.5	4.0
False	real_data	run	cdhit							3551	637	182	aa	0.6	3.0
False	real_data	run	panaroo							3498	493	190	aa	0.8	65.0
False	real_data	run	cdhit							4607	1199	317	aa	0.9	3.0
False	real_data	run	cdhit							4244	996	263	aa	0.85	3.0
False	real_data	run	panta							4906	1312	374	aa	0.85	8.0
False	real_data	run	mmseqs2							5214	1463	443	nt	0.85	5.0
False	real_data	run	mmseqs2							6386	2186	609	aa	0.95	3.0
False	real_data	run	diamond							4560	1286	263	aa	0.9	3.0
False	real_data	run	mmseqs2							6691	2538	579	nt	0.95	6.0
False	real_data	run	connected_components_t0.6							9106	4241	883	nt	0.9	7442.0
False	real_data	run	connected_components_t0.7							8281	3792	722	nt	0.9	7442.0
False	real_data	run	hdbscan_umap							4959	47	15	nt	0.9	233.288
False	real_data	run	panx							4742	1380	301	aa	0.95	323.0
False	real_data	run	diamond							4125	965	233	aa	0.85	3.0
False	real_data	run	panta							4750	1206	362	aa	0.7	8.0
False	real_data	run	mmseqs2							5113	1396	434	aa	0.8	3.0
False	real_data	run	panta							4670	1162	346	aa	0.5	7.0
False	real_data	run	panaroo							3492	498	189	aa	0.7	69.0
False	real_data	run	cdhit							5813	2103	425	nt	0.95	15.0
False	real_data	run	cdhit							4014	873	247	aa	0.8	3.0
False	real_data	run	ppanggolin							4475	1121	288	aa	0.9	7.0
False	real_data	run	cdhit							3390	553	173	aa	0.5	53.0
False	real_data	run	panaroo							3522	489	200	aa	0.9	67.0
False	real_data	run	ppanggolin							3648	670	197	aa	0.5	6.0
False	real_data	run	cdhit							3998	869	239	nt	0.85	772.0
False	real_data	run	diamond							3517	655	192	aa	0.5	4.0
False	real_data	run	mmseqs2							5485	1634	478	aa	0.9	3.0
False	real_data	run	panaroo							3457	474	180	aa	0.6	71.0
False	real_data	run	panx							3780	764	214	aa	0.6	371.0
False	real_data	run	panaroo							3335	363	187	aa	0.5	70.0
False	real_data	run	panx							3785	768	215	aa	0.7	377.0
False	real_data	run	diamond							3982	890	227	aa	0.8	4.0
False	real_data	run	panx							3899	840	221	aa	0.85	341.0
False	real_data	run	panta							5076	1435	389	aa	0.9	8.0
False	real_data	run	mmseqs2							5124	1408	442	nt	0.8	5.0
False	real_data	run	panx							3837	802	215	aa	0.8	348.0
False	real_data	run	mmseqs2							5251	1470	456	aa	0.85	3.0
False	real_data	run	ppanggolin							4110	909	243	aa	0.8	6.0
False	real_data	run	mmseqs2							4830	1216	395	nt	0.5	14.0
False	real_data	run	connected_components_t0.6							5974	2101	518	aa	0.9	6522.0
False	real_data	run	connected_components_t0.7							5561	1832	450	aa	0.9	6522.0
False	real_data	run	hdbscan_umap							4676	968	0	aa	0.9	301.357
False	real_data	run	cdhit							4374	1073	285	nt	0.9	18.0
False	real_data	run	mmseqs2							4935	1284	422	aa	0.7	2.0
False	real_data	run	mmseqs2							5433	1593	472	nt	0.9	5.0
False	real_data	run	mmseqs2							4826	1219	404	aa	0.6	3.0
False	real_data	run	ppanggolin							5261	1633	388	aa	0.95	8.0
False	real_data	run	ppanggolin							3903	802	214	aa	0.7	6.0
False	real_data	run	cdhit							5725	1830	472	aa	0.95	3.0
False	real_data	run	ppanggolin							4254	989	259	aa	0.85	7.0
False	real_data	run	mmseqs2							4897	1254	408	nt	0.6	5.0
