method_i,method_j,metric,value
CD-HIT (AA),CD-HIT (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",1.0
CD-HIT (AA),CD-HIT (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),MMseqs2 (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),MMseqs2 (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),Diamond (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),Panaroo,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.9891281889825756
CD-HIT (AA),Ppanggolin,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),Panta,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.9955914913806738
CD-HIT (AA),PanX,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.9998671266381564
CD-HIT (AA),Sketch - UMAP* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),Sketch - UMAP* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),Connected components t=0.6* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),Connected components t=0.7* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),Connected components t=0.6* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (AA),Connected components t=0.7* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),CD-HIT (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),CD-HIT (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",1.0
CD-HIT (NT),MMseqs2 (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),MMseqs2 (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),Diamond (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),Panaroo,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.9891281889825756
CD-HIT (NT),Ppanggolin,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),Panta,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.9955914913806738
CD-HIT (NT),PanX,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.9998671266381564
CD-HIT (NT),Sketch - UMAP* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),Sketch - UMAP* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),Connected components t=0.6* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
CD-HIT (NT),Connected components t=0.7* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted AND Panaroo-added/refound genes (adim.)",0.999995079393978
