method_i,method_j,metric,value
CD-HIT (AA),CD-HIT (AA),V-measure between methods (adim.),1.0
CD-HIT (AA),CD-HIT (NT),V-measure between methods (adim.),0.9949954893744024
CD-HIT (AA),MMseqs2 (AA),V-measure between methods (adim.),0.9912266021588467
CD-HIT (AA),MMseqs2 (NT),V-measure between methods (adim.),0.9905077821763228
CD-HIT (AA),Diamond (AA),V-measure between methods (adim.),0.99478260100063
CD-HIT (AA),Panaroo,V-measure between methods (adim.),0.9928371438172647
CD-HIT (AA),Ppanggolin,V-measure between methods (adim.),0.9949880029856598
CD-HIT (AA),Panta,V-measure between methods (adim.),0.990725604139088
CD-HIT (AA),PanX,V-measure between methods (adim.),0.9943442302222663
CD-HIT (AA),Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9443915654699316
CD-HIT (AA),Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9146011755249618
CD-HIT (AA),Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9899546642750985
CD-HIT (AA),Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9911867123142855
CD-HIT (AA),Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9777382353332474
CD-HIT (AA),Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9810506228145273
CD-HIT (NT),CD-HIT (AA),V-measure between methods (adim.),0.9949954893744024
CD-HIT (NT),CD-HIT (NT),V-measure between methods (adim.),1.0
CD-HIT (NT),MMseqs2 (AA),V-measure between methods (adim.),0.9896254332592721
CD-HIT (NT),MMseqs2 (NT),V-measure between methods (adim.),0.9904025450022476
CD-HIT (NT),Diamond (AA),V-measure between methods (adim.),0.9948228072922208
CD-HIT (NT),Panaroo,V-measure between methods (adim.),0.9935994370824212
CD-HIT (NT),Ppanggolin,V-measure between methods (adim.),0.9942231093058669
CD-HIT (NT),Panta,V-measure between methods (adim.),0.9900592615112882
CD-HIT (NT),PanX,V-measure between methods (adim.),0.9947736385045384
CD-HIT (NT),Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9433710900141661
CD-HIT (NT),Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9137934661842415
CD-HIT (NT),Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9885879006213437
CD-HIT (NT),Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.989878984642826
CD-HIT (NT),Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.976544532200815
CD-HIT (NT),Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9801056788536747
MMseqs2 (AA),CD-HIT (AA),V-measure between methods (adim.),0.9912266021588467
MMseqs2 (AA),CD-HIT (NT),V-measure between methods (adim.),0.9896254332592721
MMseqs2 (AA),MMseqs2 (AA),V-measure between methods (adim.),1.0
MMseqs2 (AA),MMseqs2 (NT),V-measure between methods (adim.),0.9980704070035872
MMseqs2 (AA),Diamond (AA),V-measure between methods (adim.),0.9901159413462477
MMseqs2 (AA),Panaroo,V-measure between methods (adim.),0.9889521863308016
MMseqs2 (AA),Ppanggolin,V-measure between methods (adim.),0.9936687743231231
MMseqs2 (AA),Panta,V-measure between methods (adim.),0.9943756113125811
MMseqs2 (AA),PanX,V-measure between methods (adim.),0.989609743761461
MMseqs2 (AA),Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9484861600942276
MMseqs2 (AA),Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9191316400066929
MMseqs2 (AA),Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9948643359311555
MMseqs2 (AA),Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9952073915271058
MMseqs2 (AA),Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9829787566538195
MMseqs2 (AA),Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9854646602648095
MMseqs2 (NT),CD-HIT (AA),V-measure between methods (adim.),0.9905077821763228
MMseqs2 (NT),CD-HIT (NT),V-measure between methods (adim.),0.9904025450022476
MMseqs2 (NT),MMseqs2 (AA),V-measure between methods (adim.),0.9980704070035872
MMseqs2 (NT),MMseqs2 (NT),V-measure between methods (adim.),1.0
MMseqs2 (NT),Diamond (AA),V-measure between methods (adim.),0.9896635579033723
MMseqs2 (NT),Panaroo,V-measure between methods (adim.),0.9890514760114839
MMseqs2 (NT),Ppanggolin,V-measure between methods (adim.),0.9930148338300431
MMseqs2 (NT),Panta,V-measure between methods (adim.),0.9942223609372113
MMseqs2 (NT),PanX,V-measure between methods (adim.),0.9894244253813522
MMseqs2 (NT),Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9482614374437389
MMseqs2 (NT),Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9191194008925452
MMseqs2 (NT),Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.994353152806149
MMseqs2 (NT),Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9946891200563661
MMseqs2 (NT),Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9828619190584049
MMseqs2 (NT),Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9854442959968962
Diamond (AA),CD-HIT (AA),V-measure between methods (adim.),0.99478260100063
Diamond (AA),CD-HIT (NT),V-measure between methods (adim.),0.9948228072922208
Diamond (AA),MMseqs2 (AA),V-measure between methods (adim.),0.9901159413462477
Diamond (AA),MMseqs2 (NT),V-measure between methods (adim.),0.9896635579033723
Diamond (AA),Diamond (AA),V-measure between methods (adim.),1.0
Diamond (AA),Panaroo,V-measure between methods (adim.),0.9931588358165883
Diamond (AA),Ppanggolin,V-measure between methods (adim.),0.9948110422470092
Diamond (AA),Panta,V-measure between methods (adim.),0.9904961770018448
Diamond (AA),PanX,V-measure between methods (adim.),0.995343230440395
Diamond (AA),Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9434557951561882
Diamond (AA),Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9135856764001647
Diamond (AA),Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9889351675733817
Diamond (AA),Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9903899980241845
Diamond (AA),Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9763918870541309
Diamond (AA),Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9799569018433141
Panaroo,CD-HIT (AA),V-measure between methods (adim.),0.9928371438172647
Panaroo,CD-HIT (NT),V-measure between methods (adim.),0.9935994370824212
Panaroo,MMseqs2 (AA),V-measure between methods (adim.),0.9889521863308016
Panaroo,MMseqs2 (NT),V-measure between methods (adim.),0.9890514760114839
Panaroo,Diamond (AA),V-measure between methods (adim.),0.9931588358165883
Panaroo,Panaroo,V-measure between methods (adim.),1.0
Panaroo,Ppanggolin,V-measure between methods (adim.),0.9933760595047003
Panaroo,Panta,V-measure between methods (adim.),0.9913369956714572
Panaroo,PanX,V-measure between methods (adim.),0.9948281835090685
Panaroo,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9436583909585335
Panaroo,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9134382405955725
Panaroo,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9879356652631809
Panaroo,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9894056125946517
Panaroo,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9755135487713196
Panaroo,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9791643502552622
Ppanggolin,CD-HIT (AA),V-measure between methods (adim.),0.9949880029856598
Ppanggolin,CD-HIT (NT),V-measure between methods (adim.),0.9942231093058669
Ppanggolin,MMseqs2 (AA),V-measure between methods (adim.),0.9936687743231231
Ppanggolin,MMseqs2 (NT),V-measure between methods (adim.),0.9930148338300431
Ppanggolin,Diamond (AA),V-measure between methods (adim.),0.9948110422470092
Ppanggolin,Panaroo,V-measure between methods (adim.),0.9933760595047003
Ppanggolin,Ppanggolin,V-measure between methods (adim.),1.0
Ppanggolin,Panta,V-measure between methods (adim.),0.9924776165996815
Ppanggolin,PanX,V-measure between methods (adim.),0.9952013132695307
Ppanggolin,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9457733028428681
Ppanggolin,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9156677866989574
Ppanggolin,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9915326137661912
Ppanggolin,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9927504524547772
Ppanggolin,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9783232498155137
Ppanggolin,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.98181019799333
Panta,CD-HIT (AA),V-measure between methods (adim.),0.990725604139088
Panta,CD-HIT (NT),V-measure between methods (adim.),0.9900592615112882
Panta,MMseqs2 (AA),V-measure between methods (adim.),0.9943756113125811
Panta,MMseqs2 (NT),V-measure between methods (adim.),0.9942223609372113
Panta,Diamond (AA),V-measure between methods (adim.),0.9904961770018448
Panta,Panaroo,V-measure between methods (adim.),0.9913369956714572
Panta,Ppanggolin,V-measure between methods (adim.),0.9924776165996815
Panta,Panta,V-measure between methods (adim.),1.0
Panta,PanX,V-measure between methods (adim.),0.9909053685273772
Panta,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9468259972748402
Panta,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.917656519605988
Panta,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9931586913643654
Panta,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9940214706927071
Panta,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9814972887781
Panta,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9847295924202708
PanX,CD-HIT (AA),V-measure between methods (adim.),0.9943442302222663
PanX,CD-HIT (NT),V-measure between methods (adim.),0.9947736385045384
PanX,MMseqs2 (AA),V-measure between methods (adim.),0.989609743761461
PanX,MMseqs2 (NT),V-measure between methods (adim.),0.9894244253813522
PanX,Diamond (AA),V-measure between methods (adim.),0.995343230440395
PanX,Panaroo,V-measure between methods (adim.),0.9948281835090685
PanX,Ppanggolin,V-measure between methods (adim.),0.9952013132695307
PanX,Panta,V-measure between methods (adim.),0.9909053685273772
PanX,PanX,V-measure between methods (adim.),1.0
PanX,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.943211075809743
