method_i,method_j,metric,value
CD-HIT (AA),CD-HIT (AA),Purity between methods (adim.),1.0
CD-HIT (AA),CD-HIT (NT),Purity between methods (adim.),0.9838554122011948
CD-HIT (AA),MMseqs2 (AA),Purity between methods (adim.),0.9721197090923406
CD-HIT (AA),MMseqs2 (NT),Purity between methods (adim.),0.9698119335124443
CD-HIT (AA),Diamond (AA),Purity between methods (adim.),0.9828368417426904
CD-HIT (AA),Panaroo,Purity between methods (adim.),0.976306523166292
CD-HIT (AA),Ppanggolin,Purity between methods (adim.),0.9825268420379283
CD-HIT (AA),Panta,Purity between methods (adim.),0.9709100295863863
CD-HIT (AA),PanX,Purity between methods (adim.),0.9822122909427387
CD-HIT (AA),Sketch - UMAP* (AA) *,Purity between methods (adim.),0.8161849369667267
CD-HIT (AA),Sketch - UMAP* (NT) *,Purity between methods (adim.),0.7245874051548522
CD-HIT (AA),Connected components t=0.6* (AA) *,Purity between methods (adim.),0.9694822512867448
CD-HIT (AA),Connected components t=0.7* (AA) *,Purity between methods (adim.),0.9728135179553797
CD-HIT (AA),Connected components t=0.6* (NT) *,Purity between methods (adim.),0.9388414868176316
CD-HIT (AA),Connected components t=0.7* (NT) *,Purity between methods (adim.),0.947555922962613
CD-HIT (NT),CD-HIT (AA),Purity between methods (adim.),0.9838554122011948
CD-HIT (NT),CD-HIT (NT),Purity between methods (adim.),1.0
CD-HIT (NT),MMseqs2 (AA),Purity between methods (adim.),0.9678879670908249
CD-HIT (NT),MMseqs2 (NT),Purity between methods (adim.),0.9701416157381437
CD-HIT (NT),Diamond (AA),Purity between methods (adim.),0.9832058890102644
CD-HIT (NT),Panaroo,Purity between methods (adim.),0.9790120755167406
CD-HIT (NT),Ppanggolin,Purity between methods (adim.),0.9801698601556887
CD-HIT (NT),Panta,Purity between methods (adim.),0.9694058894779691
CD-HIT (NT),PanX,Purity between methods (adim.),0.9828275271442213
CD-HIT (NT),Sketch - UMAP* (AA) *,Purity between methods (adim.),0.8137000186983949
CD-HIT (NT),Sketch - UMAP* (NT) *,Purity between methods (adim.),0.7225453436076092
