method,CD-HIT (AA),CD-HIT (NT),MMseqs2 (AA),MMseqs2 (NT),Diamond (AA),Panaroo,Ppanggolin,Panta,PanX,Sketch - UMAP* (AA),Sketch - UMAP* (NT),Connected components t=0.6* (AA),Connected components t=0.7* (AA),Connected components t=0.6* (NT),Connected components t=0.7* (NT)
CD-HIT (AA),0.0,0.0003751341569518067,0.0038274912985124553,0.0035263757305252956,0.00021730158594271182,0.016060744102072897,0.0002758611322115939,0.0010288165856448175,0.002683407042548603,0.18295592933128446,0.2699667760663849,0.008697284284794375,0.004732372441826411,0.050767861994632846,0.03976429542788404
CD-HIT (NT),0.0003751341569518067,0.0,0.006553749879642546,0.00615324460113491,0.00033390533276102285,0.012044713315590802,0.00010241053199795413,0.0026041877313153585,0.0010650235847482444,0.18847097486745398,0.27839815692103564,0.012290993282625094,0.007401009406936166,0.05893970799826759,0.047008159862311785
MMseqs2 (AA),0.0038274912985124553,0.006553749879642546,0.0,6.798931796840116e-06,0.004565837362050717,0.034762183078212786,0.006013654924831119,0.000901319362546862,0.012869217993103844,0.177716927600758,0.2557822312183442,0.0014416207070372022,0.0005618211114654352,0.027767599291109397,0.01988786575989665
MMseqs2 (NT),0.0035263757305252956,0.00615324460113491,6.798931796840116e-06,0.0,0.00422232688161307,0.03392088656485827,0.005645221200921654,0.0007551862070790097,0.012308583025942127,0.17840509537232016,0.2569332373227899,0.0015476072066492959,0.0005465476183330013,0.02848180171229376,0.020474085479001366
Diamond (AA),0.00021730158594271182,0.00033390533276102285,0.004565837362050717,0.00422232688161307,0.0,0.01621940800883128,0.0005321991033610398,0.0014453964734008951,0.002363832877328293,0.19462637409998435,0.28368736526868304,0.008937827403686994,0.004829441380802746,0.05140040297277294,0.04020453796453446
Panaroo,0.016060744102072897,0.012044713315590802,0.034762183078212786,0.03392088656485827,0.01621940800883128,0.0,0.01216535087090536,0.02498273408669375,0.006409019777845331,0.185239685927805,0.2835052173235506,0.04795459753924162,0.03792945372986366,0.1209254366793686,0.10417813324170086
Ppanggolin,0.0002758611322115939,0.00010241053199795413,0.006013654924831119,0.005645221200921654,0.0005321991033610398,0.01216535087090536,0.0,0.0023238546834928367,0.0014026212665862448,0.18056714926268191,0.26902104511558456,0.012043815299832587,0.00728651494336486,0.05824782460709641,0.04648042138331736
Panta,0.0010288165856448175,0.0026041877313153585,0.000901319362546862,0.0007551862070790097,0.0014453964734008951,0.02498273408669375,0.0023238546834928367,0.0,0.006989811868276728,0.1814398672515669,0.26422367363895866,0.0038753510421918346,0.0015116721219039426,0.037758237301459975,0.02835262207711329
PanX,0.002683407042548603,0.0010650235847482444,0.012869217993103844,0.012308583025942127,0.002363832877328293,0.006409019777845331,0.0014026212665862448,0.006989811868276728,0.0,0.19470548249061861,0.2888027233665349,0.020375891944930453,0.01388940492238499,0.07500055555666121,0.06150873417420828
Sketch - UMAP* (AA),0.18295592933128446,0.18847097486745398,0.177716927600758,0.17840509537232016,0.19462637409998435,0.185239685927805,0.18056714926268191,0.1814398672515669,0.19470548249061861,0.0,0.015228584300389614,0.19791302885988374,0.1963081880531562,0.23233799494686455,0.22654531435870648
Sketch - UMAP* (NT),0.2699667760663849,0.27839815692103564,0.2557822312183442,0.2569332373227899,0.28368736526868304,0.2835052173235506,0.26902104511558456,0.26422367363895866,0.2888027233665349,0.015228584300389614,0.0,0.2743890236365,0.27645049160948026,0.28770179975912785,0.2871145401741079
Connected components t=0.6* (AA),0.008697284284794375,0.012290993282625094,0.0014416207070372022,0.0015476072066492959,0.008937827403686994,0.04795459753924162,0.012043815299832587,0.0038753510421918346,0.020375891944930453,0.19791302885988374,0.2743890236365,0.0,0.0006320873318237896,0.017913941754924008,0.011502998308597589
Connected components t=0.7* (AA),0.004732372441826411,0.007401009406936166,0.0005618211114654352,0.0005465476183330013,0.004829441380802746,0.03792945372986366,0.00728651494336486,0.0015116721219039426,0.01388940492238499,0.1963081880531562,0.27645049160948026,0.0006320873318237896,0.0,0.02514912256200305,0.017433307212844643
Connected components t=0.6* (NT),0.050767861994632846,0.05893970799826759,0.027767599291109397,0.02848180171229376,0.05140040297277294,0.1209254366793686,0.05824782460709641,0.037758237301459975,0.07500055555666121,0.23233799494686455,0.28770179975912785,0.017913941754924008,0.02514912256200305,0.0,0.0007465995262053531
Connected components t=0.7* (NT),0.03976429542788404,0.047008159862311785,0.01988786575989665,0.020474085479001366,0.04020453796453446,0.10417813324170086,0.04648042138331736,0.02835262207711329,0.06150873417420828,0.22654531435870648,0.2871145401741079,0.011502998308597589,0.017433307212844643,0.0007465995262053531,0.0
