assembly,seed,clusterer,seqtype,combo,n_original_genes,n_genes_kept,n_genes_deleted,deleted_pct
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,panx,aa,panx/aa,5391,5363,28,0.5193841587831571
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,cdhit,aa,cdhit/aa,5391,5391,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,diamond,aa,diamond/aa,5391,5391,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.1,nt,connected_components_t0.1/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.2,nt,connected_components_t0.2/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.3,nt,connected_components_t0.3/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.4,nt,connected_components_t0.4/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.5,nt,connected_components_t0.5/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.6,nt,connected_components_t0.6/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.7,nt,connected_components_t0.7/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_dist,nt,hdbscan_dist/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_tsne,nt,hdbscan_tsne/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_umap,nt,hdbscan_umap/nt,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,ppanggolin,aa,ppanggolin/aa,5391,5391,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,panaroo,aa,panaroo/aa,5391,5391,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,embed_hdbscan_raw,aa,embed_hdbscan_raw/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,embed_hdbscan_tsne,aa,embed_hdbscan_tsne/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,embed_hdbscan_umap,aa,embed_hdbscan_umap/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,mmseqs2,aa,mmseqs2/aa,5391,5391,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,panta,aa,panta/aa,5391,5373,18,0.333889816360601
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.1,aa,connected_components_t0.1/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.2,aa,connected_components_t0.2/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.3,aa,connected_components_t0.3/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.4,aa,connected_components_t0.4/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.5,aa,connected_components_t0.5/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.6,aa,connected_components_t0.6/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,connected_components_t0.7,aa,connected_components_t0.7/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_dist,aa,hdbscan_dist/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_tsne,aa,hdbscan_tsne/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_umap,aa,hdbscan_umap/aa,5391,6089,-698,-12.947505101094418
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,cdhit,nt,cdhit/nt,5391,5391,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,mmseqs2,nt,mmseqs2/nt,5391,5391,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,panx,aa,panx/aa,4438,4405,33,0.743578188373141
