method,combo,cluster_rank,strains_in_cluster,total_strains
CD-HIT (AA),cdhit/aa,1,50,50
CD-HIT (AA),cdhit/aa,2,50,50
CD-HIT (AA),cdhit/aa,3,50,50
CD-HIT (AA),cdhit/aa,4,50,50
CD-HIT (AA),cdhit/aa,5,50,50
CD-HIT (AA),cdhit/aa,6,50,50
CD-HIT (AA),cdhit/aa,7,50,50
CD-HIT (AA),cdhit/aa,8,50,50
CD-HIT (AA),cdhit/aa,9,50,50
CD-HIT (AA),cdhit/aa,10,50,50
CD-HIT (AA),cdhit/aa,11,50,50
CD-HIT (AA),cdhit/aa,12,50,50
CD-HIT (AA),cdhit/aa,13,50,50
CD-HIT (AA),cdhit/aa,14,50,50
CD-HIT (AA),cdhit/aa,15,50,50
CD-HIT (AA),cdhit/aa,16,50,50
CD-HIT (AA),cdhit/aa,17,50,50
CD-HIT (AA),cdhit/aa,18,50,50
CD-HIT (AA),cdhit/aa,19,50,50
CD-HIT (AA),cdhit/aa,20,50,50
CD-HIT (AA),cdhit/aa,21,50,50
CD-HIT (AA),cdhit/aa,22,50,50
CD-HIT (AA),cdhit/aa,23,50,50
CD-HIT (AA),cdhit/aa,24,50,50
CD-HIT (AA),cdhit/aa,25,50,50
CD-HIT (AA),cdhit/aa,26,50,50
CD-HIT (AA),cdhit/aa,27,50,50
CD-HIT (AA),cdhit/aa,28,50,50
CD-HIT (AA),cdhit/aa,29,50,50
CD-HIT (AA),cdhit/aa,30,50,50
CD-HIT (AA),cdhit/aa,31,50,50
CD-HIT (AA),cdhit/aa,32,50,50
CD-HIT (AA),cdhit/aa,33,50,50
CD-HIT (AA),cdhit/aa,34,50,50
CD-HIT (AA),cdhit/aa,35,50,50
CD-HIT (AA),cdhit/aa,36,50,50
CD-HIT (AA),cdhit/aa,37,50,50
CD-HIT (AA),cdhit/aa,38,50,50
CD-HIT (AA),cdhit/aa,39,50,50
CD-HIT (AA),cdhit/aa,40,50,50
CD-HIT (AA),cdhit/aa,41,50,50
CD-HIT (AA),cdhit/aa,42,50,50
CD-HIT (AA),cdhit/aa,43,50,50
CD-HIT (AA),cdhit/aa,44,50,50
CD-HIT (AA),cdhit/aa,45,50,50
CD-HIT (AA),cdhit/aa,46,50,50
CD-HIT (AA),cdhit/aa,47,50,50
CD-HIT (AA),cdhit/aa,48,50,50
CD-HIT (AA),cdhit/aa,49,50,50
CD-HIT (AA),cdhit/aa,50,50,50
CD-HIT (AA),cdhit/aa,51,50,50
CD-HIT (AA),cdhit/aa,52,50,50
CD-HIT (AA),cdhit/aa,53,50,50
CD-HIT (AA),cdhit/aa,54,50,50
CD-HIT (AA),cdhit/aa,55,50,50
CD-HIT (AA),cdhit/aa,56,50,50
CD-HIT (AA),cdhit/aa,57,50,50
CD-HIT (AA),cdhit/aa,58,50,50
CD-HIT (AA),cdhit/aa,59,50,50
CD-HIT (AA),cdhit/aa,60,50,50
CD-HIT (AA),cdhit/aa,61,50,50
CD-HIT (AA),cdhit/aa,62,50,50
CD-HIT (AA),cdhit/aa,63,50,50
CD-HIT (AA),cdhit/aa,64,50,50
CD-HIT (AA),cdhit/aa,65,50,50
CD-HIT (AA),cdhit/aa,66,50,50
CD-HIT (AA),cdhit/aa,67,50,50
CD-HIT (AA),cdhit/aa,68,50,50
CD-HIT (AA),cdhit/aa,69,50,50
CD-HIT (AA),cdhit/aa,70,50,50
CD-HIT (AA),cdhit/aa,71,50,50
CD-HIT (AA),cdhit/aa,72,50,50
CD-HIT (AA),cdhit/aa,73,50,50
CD-HIT (AA),cdhit/aa,74,50,50
CD-HIT (AA),cdhit/aa,75,50,50
CD-HIT (AA),cdhit/aa,76,50,50
CD-HIT (AA),cdhit/aa,77,50,50
CD-HIT (AA),cdhit/aa,78,50,50
CD-HIT (AA),cdhit/aa,79,50,50
CD-HIT (AA),cdhit/aa,80,50,50
