assembly,seed,clusterer,seqtype,combo,n_original_genes,n_genes_kept,n_genes_deleted,deleted_pct
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,panx,aa,panx/aa,8753,8093,660,7.54027190677482
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,cdhit,aa,cdhit/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,diamond,aa,diamond/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_dist,nt,hdbscan_dist/nt,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_tsne,nt,hdbscan_tsne/nt,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_umap,nt,hdbscan_umap/nt,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,ppanggolin,aa,ppanggolin/aa,8753,8229,524,5.986518907803038
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,panaroo,aa,panaroo/aa,8753,8229,524,5.986518907803038
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,embed_hdbscan_raw,aa,embed_hdbscan_raw/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,embed_hdbscan_tsne,aa,embed_hdbscan_tsne/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,embed_hdbscan_umap,aa,embed_hdbscan_umap/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,mmseqs2,aa,mmseqs2/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,panta,aa,panta/aa,8753,8180,573,6.546326973609048
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_dist,aa,hdbscan_dist/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_tsne,aa,hdbscan_tsne/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,hdbscan_umap,aa,hdbscan_umap/aa,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,cdhit,nt,cdhit/nt,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,34,mmseqs2,nt,mmseqs2/nt,8753,8753,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,panx,aa,panx/aa,8653,8149,504,5.824569513463539
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,cdhit,aa,cdhit/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,diamond,aa,diamond/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,hdbscan_dist,nt,hdbscan_dist/nt,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,hdbscan_tsne,nt,hdbscan_tsne/nt,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,hdbscan_umap,nt,hdbscan_umap/nt,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,ppanggolin,aa,ppanggolin/aa,8653,8237,416,4.807581185715937
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,panaroo,aa,panaroo/aa,8653,8237,416,4.807581185715937
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,embed_hdbscan_raw,aa,embed_hdbscan_raw/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,embed_hdbscan_tsne,aa,embed_hdbscan_tsne/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,embed_hdbscan_umap,aa,embed_hdbscan_umap/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,mmseqs2,aa,mmseqs2/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,panta,aa,panta/aa,8653,8188,465,5.37385877730267
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,hdbscan_dist,aa,hdbscan_dist/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,hdbscan_tsne,aa,hdbscan_tsne/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,hdbscan_umap,aa,hdbscan_umap/aa,8653,8653,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-12_mu_1e-14,1274,cdhit,nt,cdhit/nt,8653,8653,0,0.0
