method_i,method_j,metric,value
CD-HIT (AA),CD-HIT (AA),Adjusted Rand index between methods (adim.),1.0
CD-HIT (AA),CD-HIT (NT),Adjusted Rand index between methods (adim.),0.9722529200701193
CD-HIT (AA),MMseqs2 (AA),Adjusted Rand index between methods (adim.),0.9552723532039412
CD-HIT (AA),MMseqs2 (NT),Adjusted Rand index between methods (adim.),0.9529387565855133
CD-HIT (AA),Diamond (AA),Adjusted Rand index between methods (adim.),0.9722056273680151
CD-HIT (AA),Panaroo,Adjusted Rand index between methods (adim.),0.9628156404451562
CD-HIT (AA),Ppanggolin,Adjusted Rand index between methods (adim.),0.9712939789082969
CD-HIT (AA),Panta,Adjusted Rand index between methods (adim.),0.9562805277181836
CD-HIT (AA),PanX,Adjusted Rand index between methods (adim.),0.9586324558550697
CD-HIT (AA),Sketch - UMAP* (AA) *,Adjusted Rand index between methods (adim.),0.7065891316781454
CD-HIT (AA),Sketch - UMAP* (NT) *,Adjusted Rand index between methods (adim.),0.5309711013022479
CD-HIT (AA),Connected components t=0.6* (AA) *,Adjusted Rand index between methods (adim.),0.9518305701107636
CD-HIT (AA),Connected components t=0.7* (AA) *,Adjusted Rand index between methods (adim.),0.9555280737619759
CD-HIT (AA),Connected components t=0.6* (NT) *,Adjusted Rand index between methods (adim.),0.9014474039114442
CD-HIT (AA),Connected components t=0.7* (NT) *,Adjusted Rand index between methods (adim.),0.9157810315921664
CD-HIT (NT),CD-HIT (AA),Adjusted Rand index between methods (adim.),0.9722529200701193
CD-HIT (NT),CD-HIT (NT),Adjusted Rand index between methods (adim.),1.0
CD-HIT (NT),MMseqs2 (AA),Adjusted Rand index between methods (adim.),0.9442991661487135
CD-HIT (NT),MMseqs2 (NT),Adjusted Rand index between methods (adim.),0.9473801319113088
CD-HIT (NT),Diamond (AA),Adjusted Rand index between methods (adim.),0.9702308623712614
CD-HIT (NT),Panaroo,Adjusted Rand index between methods (adim.),0.9633825656619315
CD-HIT (NT),Ppanggolin,Adjusted Rand index between methods (adim.),0.964268569917964
CD-HIT (NT),Panta,Adjusted Rand index between methods (adim.),0.9482788789604658
CD-HIT (NT),PanX,Adjusted Rand index between methods (adim.),0.9594317504493416
CD-HIT (NT),Sketch - UMAP* (AA) *,Adjusted Rand index between methods (adim.),0.6999339492420735
CD-HIT (NT),Sketch - UMAP* (NT) *,Adjusted Rand index between methods (adim.),0.5277047870605017
CD-HIT (NT),Connected components t=0.6* (AA) *,Adjusted Rand index between methods (adim.),0.9413420999656315
CD-HIT (NT),Connected components t=0.7* (AA) *,Adjusted Rand index between methods (adim.),0.9452606778678312
CD-HIT (NT),Connected components t=0.6* (NT) *,Adjusted Rand index between methods (adim.),0.8915469403680102
CD-HIT (NT),Connected components t=0.7* (NT) *,Adjusted Rand index between methods (adim.),0.9069138888856815
MMseqs2 (AA),CD-HIT (AA),Adjusted Rand index between methods (adim.),0.9552723532039412
MMseqs2 (AA),CD-HIT (NT),Adjusted Rand index between methods (adim.),0.9442991661487135
MMseqs2 (AA),MMseqs2 (AA),Adjusted Rand index between methods (adim.),1.0
MMseqs2 (AA),MMseqs2 (NT),Adjusted Rand index between methods (adim.),0.9922986434966966
MMseqs2 (AA),Diamond (AA),Adjusted Rand index between methods (adim.),0.9489360596152124
MMseqs2 (AA),Panaroo,Adjusted Rand index between methods (adim.),0.94883347248247
MMseqs2 (AA),Ppanggolin,Adjusted Rand index between methods (adim.),0.9666459229115183
MMseqs2 (AA),Panta,Adjusted Rand index between methods (adim.),0.9793183494603701
MMseqs2 (AA),PanX,Adjusted Rand index between methods (adim.),0.9354126870480858
MMseqs2 (AA),Sketch - UMAP* (AA) *,Adjusted Rand index between methods (adim.),0.7267865241012532
MMseqs2 (AA),Sketch - UMAP* (NT) *,Adjusted Rand index between methods (adim.),0.5444772442704067
MMseqs2 (AA),Connected components t=0.6* (AA) *,Adjusted Rand index between methods (adim.),0.9778732078786048
MMseqs2 (AA),Connected components t=0.7* (AA) *,Adjusted Rand index between methods (adim.),0.9770896486657282
MMseqs2 (AA),Connected components t=0.6* (NT) *,Adjusted Rand index between methods (adim.),0.9298530479269179
MMseqs2 (AA),Connected components t=0.7* (NT) *,Adjusted Rand index between methods (adim.),0.9399296492508992
MMseqs2 (NT),CD-HIT (AA),Adjusted Rand index between methods (adim.),0.9529387565855133
MMseqs2 (NT),CD-HIT (NT),Adjusted Rand index between methods (adim.),0.9473801319113088
MMseqs2 (NT),MMseqs2 (AA),Adjusted Rand index between methods (adim.),0.9922986434966966
MMseqs2 (NT),MMseqs2 (NT),Adjusted Rand index between methods (adim.),1.0
MMseqs2 (NT),Diamond (AA),Adjusted Rand index between methods (adim.),0.9471542589928498
MMseqs2 (NT),Panaroo,Adjusted Rand index between methods (adim.),0.9496458561877618
MMseqs2 (NT),Ppanggolin,Adjusted Rand index between methods (adim.),0.9642340988723398
