method_i,method_j,metric,value
CD-HIT (AA),CD-HIT (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),CD-HIT (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),MMseqs2 (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),MMseqs2 (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),Diamond (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),Panaroo,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9946623002072749
CD-HIT (AA),Ppanggolin,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),Panta,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9955964118911705
CD-HIT (AA),PanX,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9998720472440945
CD-HIT (AA),Sketch - UMAP* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),Sketch - UMAP* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),Connected components t=0.6* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),Connected components t=0.7* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),Connected components t=0.6* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (AA),Connected components t=0.7* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),CD-HIT (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),CD-HIT (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),MMseqs2 (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),MMseqs2 (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),Diamond (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),Panaroo,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9946623002072749
CD-HIT (NT),Ppanggolin,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),Panta,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9955964118911705
CD-HIT (NT),PanX,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9998720472440945
CD-HIT (NT),Sketch - UMAP* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),Sketch - UMAP* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),Connected components t=0.6* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),Connected components t=0.7* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),Connected components t=0.6* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
CD-HIT (NT),Connected components t=0.7* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),CD-HIT (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),CD-HIT (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),MMseqs2 (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),MMseqs2 (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),Diamond (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),Panaroo,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9946623002072749
MMseqs2 (AA),Ppanggolin,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),Panta,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9955964118911705
MMseqs2 (AA),PanX,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9998720472440945
MMseqs2 (AA),Sketch - UMAP* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),Sketch - UMAP* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),Connected components t=0.6* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),Connected components t=0.7* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),Connected components t=0.6* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (AA),Connected components t=0.7* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),CD-HIT (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),CD-HIT (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),MMseqs2 (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),MMseqs2 (NT),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),Diamond (AA),"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),Panaroo,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9946623002072749
MMseqs2 (NT),Ppanggolin,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),Panta,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9955964118911705
MMseqs2 (NT),PanX,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",0.9998720472440945
MMseqs2 (NT),Sketch - UMAP* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),Sketch - UMAP* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),Connected components t=0.6* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),Connected components t=0.7* (AA) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
MMseqs2 (NT),Connected components t=0.6* (NT) *,"Gene-retention adjusted Dice score between methods, penalised for deleted genes (adim.)",1.0
