locus_tag	ftype	length_bp	gene	EC_number	COG	product
CKACHEKH_00001	tRNA	76				tRNA-Pro(tgg)
CKACHEKH_00002	tRNA	76				tRNA-Met(cat)
CKACHEKH_00003	tRNA	74				tRNA-Met(cat)
CKACHEKH_00004	tRNA	90				tRNA-Ser(tga)
CKACHEKH_00005	tRNA	74				tRNA-Met(cat)
CKACHEKH_00006	tRNA	73				tRNA-Phe(gaa)
CKACHEKH_00007	tRNA	71				tRNA-Gly(tcc)
CKACHEKH_00008	tRNA	76				tRNA-Ile(gat)
CKACHEKH_00009	tRNA	90				tRNA-Ser(gct)
CKACHEKH_00010	CDS	936	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
CKACHEKH_00011	CDS	861	rhaS			HTH-type transcriptional activator RhaS
CKACHEKH_00012	CDS	2163	agaA_1	3.2.1.22		Alpha-galactosidase AgaA
CKACHEKH_00013	CDS	1260	msmE		COG1653	Multiple sugar-binding protein
CKACHEKH_00014	CDS	867	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
CKACHEKH_00015	CDS	834	ngcG		COG0395	Diacetylchitobiose uptake system permease protein NgcG
CKACHEKH_00016	CDS	1443	gtfA_1	2.4.1.7	COG0366	Sucrose phosphorylase
CKACHEKH_00017	CDS	1194				hypothetical protein
CKACHEKH_00018	CDS	1980	amiA		COG4166	Oligopeptide-binding protein AmiA
CKACHEKH_00019	CDS	1497				hypothetical protein
CKACHEKH_00020	CDS	927	oppC		COG1173	Oligopeptide transport system permease protein OppC
CKACHEKH_00021	CDS	1068	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
CKACHEKH_00022	CDS	927	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
CKACHEKH_00023	CDS	528				ISL3 family transposaseA
CKACHEKH_00024	CDS	288				hypothetical protein
CKACHEKH_00025	CDS	519				ISL3 family transposase IS1167
CKACHEKH_00026	CDS	711	treR		COG2188	HTH-type transcriptional regulator TreR
CKACHEKH_00027	CDS	1968				hypothetical protein
CKACHEKH_00028	CDS	1626	treA	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
CKACHEKH_00029	CDS	249				hypothetical protein
CKACHEKH_00030	CDS	795	murI	5.1.1.3	COG0796	Glutamate racemase
CKACHEKH_00031	CDS	972		3.6.1.66		dITP/XTP pyrophosphatase
CKACHEKH_00032	CDS	522				hypothetical protein
CKACHEKH_00033	CDS	462				hypothetical protein
CKACHEKH_00034	CDS	741			COG0582	Tyrosine recombinase XerD-like protein
CKACHEKH_00035	CDS	729	scpA		COG1354	Segregation and condensation protein A
CKACHEKH_00036	CDS	570	scpB			Segregation and condensation protein B
CKACHEKH_00037	CDS	723	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
CKACHEKH_00038	CDS	243			COG0759	Putative membrane protein insertion efficiency factor
CKACHEKH_00039	CDS	966	yclQ		COG4607	Petrobactin-binding protein YclQ
CKACHEKH_00040	CDS	753	yclP	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
CKACHEKH_00041	CDS	957	yclO		COG4605	Petrobactin import system permease protein YclO
CKACHEKH_00042	CDS	960	yclN		COG4606	Petrobactin import system permease protein YclN
CKACHEKH_00043	CDS	702	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
CKACHEKH_00044	CDS	1065	pepA_1	3.4.11.7	COG1363	Glutamyl aminopeptidase
CKACHEKH_00045	CDS	297				hypothetical protein
CKACHEKH_00046	CDS	444				hypothetical protein
